,F,GM,KMX,TSLA
Date,,,,
8/23/2017,9.099985123,31.71038628,64.05000305,70.55400085
8/24/2017,9.099985123,31.73718834,63.72999954,70.58599854
8/25/2017,9.193448067,31.80866241,64.38999939,69.61000061
8/28/2017,9.167959213,31.72824097,63.47999954,69.13200378
8/29/2017,9.210442543,31.73718834,63.56000137,69.47200012
8/30/2017,9.295408249,32.00523376,65.98999786,70.63600159
8/31/2017,9.371880531,32.64855576,67.15000153,71.18000031
9/1/2017,9.643774033,33.3812294,68.12000275,71.08000183
9/5/2017,9.652271271,33.26507568,69.01999664,69.91799927
9/6/2017,9.771224976,33.65821075,69.08000183,68.90599823
9/7/2017,9.686256409,33.31522751,68.33999634,70.12200165
9/8/2017,9.652271271,33.39646149,68.47000122,68.68000031
9/11/2017,9.694754601,33.7123642,68.5,72.73799896
9/12/2017,9.847696304,34.1997757,68.34999847,72.55000305
9/13/2017,9.873184204,34.48860931,69.08999634,73.2460022
9/14/2017,9.82220459,35.01212692,69.45999908,75.52799988
9/15/2017,9.873184204,35.0933609,68.08000183,75.96199799
9/18/2017,9.88168335,34.83160019,68.33999634,77
9/19/2017,9.958152771,34.93088913,68.45999908,75.01999664
9/20/2017,9.949656487,35.0933609,68.66999817,74.78199768
9/21/2017,9.958152771,35.29193878,68.83999634,73.29599762
9/22/2017,10.06011391,35.58076096,74.19000244,70.21800232
9/25/2017,10.14507961,36.37506104,74.29000092,68.9980011
9/26/2017,10.13658333,36.33895111,73.58999634,69.05000305
9/27/2017,10.1535778,36.62779236,75.34999847,68.19400024
9/28/2017,10.16207409,36.62779236,75.93000031,67.91999817
9/29/2017,10.17057037,36.44726944,75.80999756,68.22000122
10/2/2017,10.27253151,38.04488754,76.58999634,68.30599976
10/3/2017,10.48495007,39.21827316,76.33000183,69.62799835
10/4/2017,10.45096397,39.51613617,76.44999695,71.0019989
10/5/2017,10.40847969,39.57931137,76.37000275,71.06600189
10/6/2017,10.45946026,40.55413055,76.80999756,71.37599945
10/9/2017,10.48495007,40.91517639,76.18000031,68.58799744
10/10/2017,10.5274334,40.80686188,76.23000336,71.11799622
10/11/2017,10.51893616,41.04153824,76.05999756,70.91999817
10/12/2017,10.29802322,40.51802063,75.69999695,71.13600159
10/13/2017,10.23854542,41.41160965,75.44000244,71.11399841
10/16/2017,10.29802322,41.30329132,75.45999908,70.12000275
10/17/2017,10.42547321,40.63536835,75.37000275,71.15000153
10/18/2017,10.35749817,40.72562408,75.26000214,71.93000031
10/19/2017,10.39148521,40.93322372,74.83999634,70.36199951
10/20/2017,10.4086895,41.1679039,75.13999939,69.01999664
10/23/2017,10.3570776,40.75270844,74.38999939,67.40399933
10/24/2017,10.48610973,41.95316696,74.77999878,67.46800232
10/25/2017,10.3570776,40.72562408,74.16999817,65.16799927
10/26/2017,10.55492878,40.84296417,74.86000061,65.23400116
10/27/2017,10.37428188,40.29236984,74.36000061,64.1740036
10/30/2017,10.4086895,39.14606094,74.94999695,64.01599884
10/31/2017,10.55492878,38.79404831,75.09999847,66.30599976
11/1/2017,10.62374592,38.92943954,74.45999908,64.21600342
11/2/2017,10.68396091,38.45105362,75.98000336,59.85200119
11/3/2017,10.63234901,38.21637726,75.19000244,61.2179985
11/6/2017,10.60654068,38.03585434,74.91000366,60.55599976
11/7/2017,10.46030331,37.63871384,73.41999817,61.20999908
11/8/2017,10.37428188,38.00877762,73.44000244,60.87799835
11/9/2017,10.3570776,38.00877762,72.18000031,60.59799957
11/10/2017,10.33127117,38.50520706,72.68000031,60.59799957
11/13/2017,10.46030331,39.32658386,72.34999847,63.08000183
11/14/2017,10.33987331,38.81210327,70.94000244,61.74000168
11/15/2017,10.32266903,38.6857338,70.72000122,62.25999832
11/16/2017,10.3570776,39.35366058,70.55000305,62.5
11/17/2017,10.33127117,39.60639572,69.44999695,63.00999832
11/20/2017,10.43449688,40.50899887,69.62000275,61.7480011
11/21/2017,10.42589569,40.59023285,68.75,63.56200027
11/22/2017,10.38288403,39.97646332,67.98999786,62.52000046
11/24/2017,10.4086895,40.1299057,68.05000305,63.11000061
11/27/2017,10.41729069,39.8681488,67.87000275,63.36199951
11/28/2017,10.50331402,40.54510117,67.45999908,63.50999832
11/29/2017,10.80439377,39.54320908,68.5,61.50799942
11/30/2017,10.76998425,38.89333344,68.91000366,61.77000046
12/1/2017,10.8215971,38.62254715,68.37999725,61.30599976
12/4/2017,10.86460781,38.85722733,70.70999908,61.04000092
12/5/2017,10.69256306,38.63157654,67.72000122,60.74000168
12/6/2017,10.64955235,38.04488754,66.55000305,62.65200043
12/7/2017,10.77858639,38.27258682,66.97000122,62.2480011
12/8/2017,10.84740257,38.27258682,67.48000336,63.02600098
12/11/2017,10.8215971,37.9538002,67.97000122,65.78199768
12/12/2017,10.83880043,37.8262825,66.86000061,68.20600128
12/13/2017,10.86460781,37.70787811,67.47000122,67.80599976
12/14/2017,10.71836948,37.17049789,67.08999634,67.57800293
12/15/2017,10.8215971,37.29801941,67.73000336,68.69000244
12/18/2017,10.89041328,38.39099884,68.51999664,67.77400208
12/19/2017,10.91622066,38.70067596,67.84999847,66.22000122
12/20/2017,10.94202709,38.72800446,68.47000122,65.79599762
12/21/2017,10.86460781,38.40010452,66,66.33200073
12/22/2017,10.8215971,38.27258682,65.23000336,65.04000092
