,"Tesla,_Inc.views",Ford_Motor_Companyviews,General_Motorsviews,CarMaxviews,TSLA_RSI,F_RSI,GM_RSI,KMX_RSI,F,GM,KMX,TSLA,F_bollinger_band_mid_band,F_bollinger_std,F_bollinger_upper_band,F_bollinger_lower_band,F_bollinger_band_lower_band,F_bollinger_band_upper_band,F_bollinger_long,GM_bollinger_band_mid_band,GM_bollinger_std,GM_bollinger_upper_band,GM_bollinger_lower_band,GM_bollinger_band_lower_band,GM_bollinger_band_upper_band,GM_bollinger_long,KMX_bollinger_band_mid_band,KMX_bollinger_std,KMX_bollinger_upper_band,KMX_bollinger_lower_band,KMX_bollinger_band_lower_band,KMX_bollinger_band_upper_band,KMX_bollinger_long,TSLA_bollinger_band_mid_band,TSLA_bollinger_std,TSLA_bollinger_upper_band,TSLA_bollinger_lower_band,TSLA_bollinger_band_lower_band,TSLA_bollinger_band_upper_band,TSLA_bollinger_long
2017-08-04,9210.0,4304.0,4043.0,331.0,,,,,9.303906440734863,31.51381492614746,65.72000122070312,71.38200378417969,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2017-08-07,8892.0,4343.0,4046.0,359.0,,,,,9.278413772583008,31.54060935974121,65.83000183105469,71.03399658203125,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2017-08-08,8558.0,4277.0,4216.0,344.0,,,,,9.252924919128418,31.621028900146484,64.87000274658203,73.04399871826172,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2017-08-09,7669.0,4290.0,4024.0,301.0,,,,,9.278413772583008,31.522741317749023,65.2300033569336,72.70600128173828,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2017-08-10,7189.0,4340.0,3828.0,342.0,,,,,9.150964736938477,31.16534996032715,63.93000030517578,71.08000183105469,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2017-08-11,6746.0,4479.0,3885.0,322.0,,,,,9.150964736938477,31.21001625061035,64.41999816894531,71.5739974975586,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2017-08-14,6893.0,8347.0,9395.0,293.0,,,,,9.269919395446777,31.6925106048584,64.91999816894531,72.76000213623047,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2017-08-15,6584.0,10588.0,8752.0,340.0,,,,,9.210442543029785,31.75505256652832,64.45999908447266,72.46600341796875,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2017-08-16,6548.0,10850.0,6458.0,310.0,,,,,9.1764554977417,31.942689895629883,64.81999969482422,72.58200073242188,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
2017-08-17,6653.0,5784.0,4920.0,297.0,,,,,9.040507316589355,31.272558212280273,63.970001220703125,70.38400268554688,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
